"","week","1999","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1",1,NA,31,17,NA,21,19,19,19,NA,17,12,14,15,12,NA,12.5,NA,16,11.5,NA,8.5,8,10
"2",2,NA,NA,26,14,16,24,19,7,10,20,12,15,11,11,12,11,11,13,4,6,10,NA,6
"3",3,NA,NA,19,12,10,13,9,10,21,20,11,9,13,NA,15,10,NA,NA,8,3,6,4.5,5
"4",4,NA,NA,19,12.5,9,8,9,9,11,15,12,12,NA,12,10.5,9,NA,11,11,3,9,NA,10
"5",5,NA,NA,8.5,NA,9,4,9,12,12,11,9,12,12,8,NA,NA,10,11,10,NA,NA,NA,NA
"6",6,NA,NA,11,NA,8,7,5,13,10,8,6,6,0,7,9,6,5,NA,NA,NA,NA,NA,6
"7",7,NA,NA,9,9,8,4,6,12,12,7,10,NA,NA,8,4,7,NA,NA,NA,NA,NA,NA,3
"8",8,NA,NA,10,12,6,6,3,10,5,7,9,8,NA,7,4,9,NA,NA,NA,NA,NA,4,NA
"9",9,NA,NA,7,6,5,3,6,9,8,8,6,4,8,8,4,4,6,3,5,4,3,5,NA
"10",10,NA,NA,6,4,4,3,1,6,5,7,4,2,3,4,6,5,9,5,4,4,3,3,3
"11",11,NA,NA,6,4,3,5,3,6,4,4,3,3,4,6,3,4.5,4,5,3,NA,2,2,4
"12",12,NA,NA,2,8,4,5,2,5,5,4,6,5,1,4,7,2,4,5,2,NA,1,1,1
"13",13,NA,NA,2,5,5,3,1,5,3,3,4,3,3,3,3,NA,2,3,2,NA,1.5,2,2
"14",14,NA,NA,1,5,2,3,2,3,4,3,3,5,1,2,4,2,2,2,2,2,1,NA,2
"15",15,NA,NA,3,3,1,2,2,4,4,3,1,1,2,2,5,1,2,2,2,1,1,1,1
"16",16,NA,NA,2,5,1,1,1,3,3,2,1,3,1,2,1,NA,1,1,1,1,1,1,0
"17",17,NA,NA,2,3,1,2,1,2,2,2,1,1,2,1,1,0,1,1,1,2,1,1,1
"18",18,NA,NA,2,2,1,1,2,3,2,1,NA,1,NA,1,1,0,1,1,1,NA,1,1,1
"19",19,NA,NA,1,1,0,1,1,2,2,1.33333333333333,1,2,1,1,NA,1,1,1,1,1,1,4,1
"20",20,NA,NA,NA,1,1,0,0,1,1,NA,1,1,2,0,2,1,1,1,0,NA,1,NA,1
"21",21,NA,NA,1,2,0,0,1,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,1,0
"22",22,NA,NA,0,1,1.5,0,1,1,1,0,1,1,1,1,1,0,0,1,NA,1,1,0,0
"23",23,NA,NA,0,1.5,NA,1,0,0,2,0,1,0,1,1,NA,0,0,1,1,1,1,1,1
"24",24,NA,NA,0,1,0,0,0,0,1,0,0,0,1,1,0,1,NA,0,0,NA,1,1,0
"25",25,NA,NA,1,1,0,1,0,0,1,NA,0,0,0,0,0,NA,1,0,0,0,1,NA,0
"26",26,NA,NA,0,1,0,1,0,1,0,0,1,0,1,1,NA,0,0,0,0,0,1,NA,0
"27",27,NA,NA,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,NA,0,1,0
"28",28,NA,NA,0,NA,0,0,1,1,1,0,0,2,1,1,1,1,0,0,0,0,1,1,0
"29",29,NA,NA,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0
"30",30,NA,NA,NA,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,NA,1,0.5,0
"31",31,NA,NA,1,1,2,1,0,0,1,1,1,0,1,2,0,1,0,0,0,1,0,1,1
"32",32,NA,NA,0,0,2,0,0,1,0,1,1,1,NA,1,1,1,0,0,1,1,1,1,1
"33",33,NA,NA,1,3,4,1,0,1,1,2,2,1,NA,1,1,2,0,0,1,2,1,1,1
"34",34,NA,NA,3,2,1,1,1,1,1,3,2,2,NA,1,1,2,2,1,1,1,1,1,2.5
"35",35,NA,NA,3,3,4,3,1,5,3,5,3,6,3,1,0,NA,2,1,2,3,1,3,2
"36",36,NA,NA,4,8,12,3,3,5,1,9,8,3,7,1,2,6,6,3.5,4,1,1,1,3
"37",37,NA,NA,14,10,13,8,10,11,3,14,10,6,11,1,1,7.5,3,NA,3,3,2,1,2
"38",38,NA,NA,20,19,14,11,16,20,8,12,10,5.5,12,2,3,17,5,5,8,4,4,2,4
"39",39,NA,NA,14,16,10,12,15,21,12,8,10,12,13,6,5,8,3,2,9,4,5,5,5
"40",40,NA,500,18,14,13,11.5,11,25,17,13,11,8.5,16,4,8,14.5,10,6,8,4,NA,8,15
"41",41,NA,NA,16,15,20,11,6.5,20,16,11,9,11.5,13.5,5,NA,17,14,5,7,10,6.5,25.5,26
"42",42,NA,NA,21,13,23,11,16,38,12,23,21,15,NA,15,6,27,17,12,8,10,21,NA,21
"43",43,NA,32,27,27,27,21,14,35,12,13,36,23,14,23,10,23,NA,16,9,23,23,42,20
"44",44,NA,47,32,37,43,23,24,37,33,26,24,53,17,40,21,39,23,21,11,27,36,25,21
"45",45,NA,NA,32,37,44,22,22,35,46,26,19,46,19,33,17,28,40,24,11,NA,21,17,26
"46",46,NA,76,25,32,48,31,32,31,47,25,23,33,21,33,35,16,31,20,15,21,25,25,21
"47",47,NA,54,28,39,25,39,33,36.5,26,33,25,44,19,28,NA,19,27,27,12,13,14,26,NA
"48",48,NA,36,30,28,31,26,33,NA,31,28,26,22,15,20,36,12,19,12,13,20,NA,20,NA
"49",49,NA,25,31,37,22,32,17,24,40,NA,21,17,20,18,22,20,15,7,11,24,7,24,NA
"50",50,NA,35,22,41,17,19,15,20.5,19,18,24,20,23,12,31,19,25,9,11,18,5,17,NA
"51",51,NA,34,21,27,18,16,17,NA,37,18,31,13,12,13,21,10,28,9,12,11,10,9.5,NA
"52",52,NA,21,18,24,21,26,15,15,25,14,32,12,9,12,15,NA,15.5,11,NA,14,13,13.5,NA
"53",53,3,NA,NA,15,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,14,NA,NA,NA
